Listing ID,Price,Address,Beds,Baths,SqFt,Link,Image URL,Latitude,Longitude,Date
7114793,"$4,495,000","7020 La Presa Dr, Los Angeles, CA 90068",4 beds,4.5 baths,"4,558",https://www.redfin.com/CA/Los-Angeles/7020-La-Presa-Dr-90068/home/7114793,https://ssl.cdn-redfin.com/photo/40/islphoto/081/genIslnoResize.25575081_0.jpg,34.109073,-118.3413432,2025-08-20
7129920,"$2,995,000","6300 Mulholland Hwy, Los Angeles, CA 90068",4 beds,4.5 baths,"3,109",https://www.redfin.com/CA/Los-Angeles/6300-Mulholland-Hwy-90068/home/7129920,https://ssl.cdn-redfin.com/photo/40/islphoto/397/genIslnoResize.25577397_0.jpg,34.1274085,-118.3245289,2025-08-20
7130031,"$3,986,000","2882 Belden Dr, Los Angeles, CA 90068",5 beds,3.5 baths,"4,275",https://www.redfin.com/CA/Los-Angeles/2882-Belden-Dr-90068/home/7130031,https://ssl.cdn-redfin.com/photo/40/islphoto/641/genIslnoResize.25540641_3.jpg,34.1220195,-118.3227354,2025-08-20
7131756,"$1,895,000","5661 Spreading Oak Dr, Los Angeles, CA 90068",3 beds,2 baths,"1,672",https://www.redfin.com/CA/Los-Angeles/5661-Spreading-Oak-Dr-90068/home/7131756,https://ssl.cdn-redfin.com/photo/40/islphoto/733/genIslnoResize.25573733_0.jpg,34.1141021,-118.3137977,2025-08-20
7128461,"$2,300,000","6411 Tahoe Dr, Los Angeles, CA 90068",4 beds,2.5 baths,"2,290",https://www.redfin.com/CA/Los-Angeles/6411-Tahoe-Dr-90068/home/7128461,https://ssl.cdn-redfin.com/photo/40/islphoto/895/genIslnoResize.25569895_0.jpg,34.1279859,-118.3301082,2025-08-20
7130134,"$1,425,000","3112 Ledgewood Dr, Los Angeles, CA 90068",2 beds,2 baths,"1,272",https://www.redfin.com/CA/Los-Angeles/3112-Ledgewood-Dr-90068/home/7130134,https://ssl.cdn-redfin.com/photo/40/islphoto/375/genIslnoResize.25569375_0.jpg,34.1250047,-118.3218347,2025-08-20
7114956,"$7,249,000","1947 Glencoe Way, Los Angeles, CA 90068",6 beds,6.5 baths,"6,602",https://www.redfin.com/CA/Los-Angeles/1947-Glencoe-Way-90068/home/7114956,https://ssl.cdn-redfin.com/photo/45/islphoto/783/genIslnoResize.SR25176783_0.jpg,34.1060223,-118.3390138,2025-08-20
7127505,"$1,200,000","2251 N Cahuenga Blvd, Los Angeles, CA 90068",2 beds,2 baths,"1,133",https://www.redfin.com/CA/Los-Angeles/2251-N-Cahuenga-Blvd-90068/home/7127505,https://ssl.cdn-redfin.com/photo/40/islphoto/649/genIslnoResize.25570649_2.jpg,34.1109566,-118.3329152,2025-08-20
5314245,"$2,750,000","2942 Passmore Dr, Los Angeles, CA 90068",4 beds,4.5 baths,"3,821",https://www.redfin.com/CA/Los-Angeles/2942-Passmore-Dr-90068/home/5314245,https://ssl.cdn-redfin.com/photo/40/islphoto/139/genIslnoResize.25565139_2.jpg,34.1249467,-118.351598,2025-08-20
7114781,"$4,369,000","6911 Los Tilos Rd, Los Angeles, CA 90068",4 beds,4 baths,"3,967",https://www.redfin.com/CA/Los-Angeles/6911-Los-Tilos-Rd-90068/home/7114781,https://ssl.cdn-redfin.com/photo/40/islphoto/795/genIslnoResize.25567795_1.jpg,34.1108666,-118.3400869,2025-08-20
